"日期","收盘","开盘","高","低","涨跌幅"
"2014年11月","62.210","61.515","62.250","61.300","1.31%"
"2014年10月","61.405","61.835","61.965","60.910","-0.86%"
"2014年9月","61.940","60.520","61.940","60.212","2.35%"
"2014年8月","60.520","60.755","61.755","60.360","-0.06%"
"2014年7月","60.555","60.075","60.565","59.530","0.82%"
"2014年6月","60.060","59.115","60.545","58.985","1.46%"
"2014年5月","59.195","60.275","60.285","58.265","-1.91%"
"2014年4月","60.345","59.930","61.195","59.575","0.55%"
"2014年3月","60.015","61.960","62.150","59.690","-2.88%"
"2014年2月","61.795","62.705","62.835","61.755","-1.42%"
"2014年1月","62.685","61.823","63.325","61.320","1.42%"
"2013年12月","61.810","62.360","62.543","60.840","-0.94%"
"2013年11月","62.399","61.510","63.910","61.510","1.26%"
"2013年10月","61.624","62.560","62.570","60.940","-1.54%"
"2013年9月","62.590","66.115","68.615","61.660","-4.74%"
"2013年8月","65.705","60.755","68.805","60.230","7.97%"
"2013年7月","60.855","59.475","61.225","58.708","2.22%"
"2013年6月","59.533","56.510","60.770","56.310","5.22%"
"2013年5月","56.580","53.810","56.770","53.640","5.39%"
"2013年4月","53.685","54.265","54.945","53.655","-1.11%"
"2013年3月","54.285","54.365","55.135","53.895","-0.16%"
"2013年2月","54.370","53.215","54.615","52.885","2.06%"
"2013年1月","53.275","55.005","55.395","53.075","-3.13%"
"2012年12月","54.995","54.355","55.285","54.020","1.35%"
"2012年11月","54.265","53.805","55.885","53.602","0.85%"
"2012年10月","53.805","52.825","54.209","51.355","1.80%"
"2012年9月","52.855","55.537","56.040","52.505","-4.81%"
"2012年8月","55.525","55.655","56.200","54.960","-0.06%"
"2012年7月","55.560","55.490","56.440","54.180","0.09%"
"2012年6月","55.510","56.085","57.335","54.830","-0.95%"
"2012年5月","56.040","52.740","56.530","52.490","6.41%"
"2012年4月","52.665","50.855","52.880","50.524","3.52%"
"2012年3月","50.875","49.010","51.490","49.010","3.59%"
"2012年2月","49.110","49.510","49.770","48.610","-0.82%"
"2012年1月","49.515","53.270","53.355","49.247","-6.60%"
"2011年12月","53.015","52.095","54.325","50.945","1.70%"
"2011年11月","52.130","48.600","52.735","48.600","7.05%"
"2011年10月","48.695","48.965","50.325","48.535","-0.66%"
"2011年9月","49.020","45.750","49.895","45.660","7.03%"
"2011年8月","45.800","44.110","46.225","43.970","3.60%"
"2011年7月","44.210","44.660","44.770","43.860","-1.10%"
"2011年6月","44.700","45.010","45.150","44.530","-0.80%"
"2011年5月","45.060","44.215","45.433","44.145","1.82%"
"2011年4月","44.255","44.495","44.710","43.897","-0.63%"
"2011年3月","44.535","45.275","45.377","44.515","-1.61%"
"2011年2月","45.265","45.905","45.935","44.865","-1.22%"
"2011年1月","45.825","44.635","46.035","44.535","2.49%"
"2010年12月","44.713","45.892","45.892","44.582","-2.37%"
"2010年11月","45.800","44.290","46.130","43.830","3.33%"
"2010年10月","44.325","44.545","44.835","43.985","-0.55%"
"2010年9月","44.570","47.030","47.030","44.550","-5.30%"
"2010年8月","47.065","46.325","47.150","45.715","1.42%"
"2010年7月","46.405","46.345","47.415","46.225","-0.09%"
"2010年6月","46.445","46.305","47.455","45.495","0.17%"
"2010年5月","46.365","44.205","47.745","44.185","4.72%"
"2010年4月","44.275","44.925","44.925","44.075","-1.23%"
"2010年3月","44.825","46.105","46.168","44.775","-2.78%"
"2010年2月","46.105","46.175","46.890","45.745","-0.04%"
"2010年1月","46.125","46.630","46.697","45.115","-0.61%"
